2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - GestorEventos inicializado.
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 11 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: AudioDeviceAdded (<Event(4352-AudioDeviceAdded {'which': 0, 'iscapture': 0})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: AudioDeviceAdded (<Event(4352-AudioDeviceAdded {'which': 0, 'iscapture': 1})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: WindowShown (<Event(32774-WindowShown {'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: ActiveEvent (<Event(32768-ActiveEvent {'gain': 1, 'state': 2})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: WindowFocusGained (<Event(32785-WindowFocusGained {'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: TextEditing (<Event(770-TextEditing {'text': '', 'start': 0, 'length': 0, 'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: ActiveEvent (<Event(32768-ActiveEvent {'gain': 1, 'state': 1})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: WindowEnter (<Event(32783-WindowEnter {'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: MouseMotion (<Event(1024-MouseMotion {'pos': (493, 275), 'rel': (0, 0), 'buttons': (0, 0, 0), 'touch': False, 'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: VideoExpose (<Event(32770-VideoExpose {})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] -   Evento: WindowExposed (<Event(32776-WindowExposed {'window': None})>)
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:40 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 16:50:41 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
